# Generated from mozillazg/phrase-pinyin-data cee0ed6e6e4898580cafd2bd5e3723e20b214aa0; MIT.
# Tone removal, ü -> v, 2–8 Han characters, deduplicated; weight 1 (no frequency data).
yi ding bu shi	一丁不识	1
yi ding dian er	一丁点儿	1
yi bu niu zhong	一不扭众	1
yi zhuan duo neng	一专多能	1
yi qiu zhi he	一丘之貉	1
yi si bu cha	一丝不差	1
yi si bu wen	一丝不紊	1
yi ge ban ge	一个半个	1
yi ge ba zhang pai bu xiang	一个巴掌拍不响	1
yi ge xin yan	一个心眼	1
yi ge xin yan er	一个心眼儿	1
yi ge luo bo yi ge keng	一个萝卜一个坑	1
yi ju wan li	一举万里	1
yi zhi wei shen	一之为甚	1
yi zhi yi shen	一之已甚	1
yi zhi wei shen	一之谓甚	1
yi luan tu di	一乱涂地	1
yi liao	一了	1
yi liao bai liao	一了百了	1
yi liao bai dang	一了百当	1
yi zheng gao di	一争高低	1
yi shi bu zhi	一事不知	1
yi wu yi shi	一五一十	1
yi xie ban xie	一些半些	1
yi ren zuo shi yi ren dang	一人做事一人当	1
yi ren you qing	一人有庆	1
yi pu er zhu	一仆二主	1
yi jie bu qu	一介不取	1
yi jie bu gou	一介不苟	1
yi dai bu ru yi dai	一代不如一代	1
yi dai kai mo	一代楷模	1
yi dai feng liu	一代风流	1
yi ling zhi	一令纸	1
yi yi dang shi	一以当十	1
yi yi dang bai	一以当百	1
yi huo er	一伙儿	1
yi si	一似	1
yi ti liang mian	一体两面	1
yi ti tong xin	一体同心	1
yi fo chu shi	一佛出世	1
yi chang yi he	一倡一和	1
yi chang san tan	一倡三叹	1
yi chang bai he	一倡百和	1
yi pian zhi jian	一偏之见	1
yi pian zhi lun	一偏之论	1
yi yuan hua	一元化	1
yi yuan da wu	一元大武	1
yi yuan lun	一元论	1
yi chu xi	一出戏	1
yi dao liang duan	一刀两断	1
yi fen yi hao	一分一毫	1
yi fen zi	一分子	1
yi fen zi jia wan	一分子甲烷	1
yi fen zhong	一分钟	1
yi qie wan wu	一切万物	1
yi qie zhong sheng	一切众生	1
yi jian zhi ren	一剑之任	1
yi li cheng dang	一力承当	1
yi dong bu ru yi jing	一动不如一静	1
yi bao zai nei	一包在内	1
yi kuang jiu he	一匡九合	1
yi pi ma	一匹马	1
yi shi ba ceng di yu	一十八层地狱	1
yi wo bu qi	一卧不起	1
yi qu bu fu fan	一去不复返	1
yi shuang liang hao	一双两好	1
yi fan qi dao	一反其道	1
yi fa qian jun	一发千钧	1
yi kou liang chi	一口两匙	1
yi kou tong sheng	一口同声	1
yi kou tong yin	一口同音	1
yi kou xi jin xi jiang shui	一口吸尽西江水	1
yi kou yao ding	一口咬定	1
yi ye pian zhou	一叶扁舟	1
yi ye bao qiu	一叶报秋	1
yi ye zhi qiu	一叶知秋	1
yi ye luo zhi tian xia qiu	一叶落知天下秋	1
yi ye mi shan	一叶迷山	1
yi ye zhang mu	一叶障目	1
yi tu wei kuai	一吐为快	1
yi he er jiu	一呵而就	1
yi hu zai nuo	一呼再喏	1
yi hu bai ying	一呼百应	1
yi ming wu hu	一命呜呼	1
yi pin hong	一品红	1
yi hong er shang	一哄而上	1
yi hong er san	一哄而散	1
yi hong er qi	一哄而起	1
yi ku er nao	一哭二闹	1
yi chang yi he	一唱一和	1
yi chang bai he	一唱百和	1
yi pen yi xing	一喷一醒	1
yi hui er	一回儿	1
yi tuan he qi	一团和气	1
yi chang chun meng	一场春梦	1
yi chang kong	一场空	1
yi chang yu	一场雨	1
yi zuo jin qing	一坐尽倾	1
yi zuo jin jing	一坐尽惊	1
yi kuai shi tou luo le di	一块石头落了地	1
yi kuai shi tou luo di	一块石头落地	1
yi sheng bu xiang	一声不响	1
yi kui yi qi	一夔一契	1
yi xi yi zhao	一夕一朝	1
yi xi zhi jian	一夕之间	1
yi duo ban	一多半	1
yi ye zou hong	一夜走红	1
yi da pi	一大批	1
yi da ba	一大把	1
yi tian yi di	一天一地	1
yi tian xing dou	一天星斗	1
yi fu yi qi zhi	一夫一妻制	1
yi fu zhi yong	一夫之勇	1
yi fu zhi yong	一夫之用	1
yi fu dang guan	一夫当关	1
yi tou re	一头热	1
yi kong bu da	一孔不达	1
yi kong zhi jian	一孔之见	1
yi zi yi ju	一字一句	1
yi zi bu yi	一字不易	1
yi zi bu gou	一字不苟	1
yi zi chang cheng	一字长城	1
yi zi chang she zhen	一字长蛇阵	1
yi ding bu yi	一定不易	1
yi ding bu yi	一定不移	1
yi ke bu fan er zhu	一客不烦二主	1
yi jia yi hu	一家一户	1
yi jia yi huo	一家一火	1
yi jia yi ji	一家一计	1
yi jia zhi zhu	一家之主	1
yi jia zhi zuo	一家之作	1
yi jia zhi xue	一家之学	1
yi jia zhi yan	一家之言	1
yi jia zhi ji	一家之计	1
yi jia zhi ci	一家之辞	1
yi jia ren	一家人	1
yi jia wu er	一家无二	1
yi jia juan shu	一家眷属	1
yi jia lao xiao	一家老小	1
yi she zhi di	一射之地	1
yi chen bu dao	一尘不到	1
yi chen bu ran	一尘不染	1
yi chen bu zi	一尘不缁	1
yi chi shui shi zhang bo	一尺水十丈波	1
yi shan bu cang er hu	一山不藏二虎	1
yi sui zai she	一岁载赦	1
yi cha liang e	一差两讹	1
yi cha er wu	一差二悮	1
yi cha er wu	一差二误	1
yi cha er cuo	一差二错	1
yi cha ban cuo	一差半错	1
yi ji zhi jian	一己之见	1
yi fan shun feng	一帆顺风	1
yi xi tan	一席谈	1
yi gan ren fan	一干人犯	1
yi nian dao tou	一年到头	1
yi nian ban zai	一年半载	1
yi nian ji	一年级	1
yi chuang liang hao	一床两好	1
yi chuang jin bei zhe gai	一床锦被遮盖	1
yi ying	一应	1
yi tan zhi qing	一弹指顷	1
yi che wan rong	一彻万融	1
yi de	一得	1
yi de zhi gong	一得之功	1
yi de zhi yu	一得之愚	1
yi de zhi jian	一得之见	1
yi xin tong ti	一心同体	1
yi xin tong gong	一心同功	1
yi xin tong gui	一心同归	1
yi xin xiang wang	一心向往	1
yi nian zhi cha	一念之差	1
yi nian zhi jian	一念之间	1
yi nu zhi xia	一怒之下	1
yi xi yan yan	一息奄奄	1
yi cheng bu yi	一成不易	1
yi za	一扎	1
